species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,43.9,16.3,192,3925,male
Adelie,Torgersen,37.4,18.1,183,3975,female
Chinstrap,Dream,47.2,19.2,196,3700,female
Gentoo,Biscoe,52.4,14.1,222,5500,male
Gentoo,Biscoe,46.0,14.2,213,5400,male
Chinstrap,Dream,47.8,20.8,201,4300,female
Chinstrap,Dream,48.7,17.2,201,3050,male
Adelie,Biscoe,33.5,20.0,189,3425,male
Gentoo,Biscoe,51.7,14.7,210,4975,male
Chinstrap,Dream,47.8,19.7,188,3825,male
Adelie,Dream,41.7,15.1,197,3025,female
Chinstrap,Dream,46.9,19.1,202,3700,male
Chinstrap,Dream,48.3,18.8,190,3775,male
Chinstrap,Dream,51.1,17.9,206,3875,male
Chinstrap,Dream,56.0,19.2,202,4050,female
Adelie,Dream,34.2,16.2,184,3475,male
Chinstrap,Dream,46.5,19.2,205,3725,female
Gentoo,Biscoe,44.0,15.6,217,5375,male
Adelie,Dream,39.4,17.5,179,3725,male
Chinstrap,Dream,49.0,16.2,196,3850,female
Chinstrap,Dream,47.7,20.3,202,4475,female
Adelie,Biscoe,37.1,18.4,185,3450,female
Chinstrap,Dream,48.1,17.6,203,3475,male
Gentoo,Biscoe,47.4,13.5,222,4875,male
Gentoo,Biscoe,42.6,15.0,212,5200,female
Gentoo,Biscoe,49.8,14.5,215,6325,male
Adelie,Dream,42.5,18.1,204,3700,female
Gentoo,Biscoe,50.9,15.5,211,4825,male
Chinstrap,Dream,46.0,17.8,193,4250,male
Gentoo,Biscoe,53.9,16.0,224,4800,female
Chinstrap,Dream,45.9,16.9,201,3475,female
Chinstrap,Dream,51.6,18.2,197,4000,male
Chinstrap,Dream,52.0,20.7,190,3400,male
Adelie,Torgersen,40.2,19.5,189,3125,female
Adelie,Torgersen,42.0,17.9,195,4150,male
Gentoo,Biscoe,48.8,14.1,211,5575,male
Gentoo,Biscoe,54.3,13.0,217,5275,male
Gentoo,Biscoe,50.1,15.1,201,5375,male
Adelie,Torgersen,36.5,18.9,175,3250,male
Adelie,Torgersen,35.3,18.9,182,3675,female
Adelie,Torgersen,37.6,19.0,183,3550,male
Chinstrap,Dream,51.9,19.8,195,3650,female
Chinstrap,Dream,54.4,20.0,198,4500,male
Gentoo,Biscoe,50.0,15.2,220,5300,male
Chinstrap,Dream,46.3,19.0,200,3800,male
Adelie,Dream,37.6,18.6,195,3475,female
Chinstrap,Dream,53.3,17.1,185,3125,male
Adelie,Dream,33.7,17.0,177,4200,male
Adelie,Dream,42.2,19.2,200,3275,male
Chinstrap,Dream,51.3,19.4,200,3675,female
Adelie,Biscoe,34.9,18.6,199,3975,female
Gentoo,Biscoe,48.2,14.6,215,4525,female
Adelie,Biscoe,34.6,19.8,196,3950,female
Adelie,Dream,35.3,18.8,197,3950,male
Adelie,Biscoe,32.8,18.9,187,3975,male
Adelie,Torgersen,37.6,18.5,188,3575,male
Adelie,Torgersen,34.3,16.1,184,3375,male
Adelie,Biscoe,40.6,19.4,199,3875,female
Adelie,Biscoe,39.9,18.6,184,3775,female
Chinstrap,Dream,54.1,18.6,192,3650,female
Gentoo,Biscoe,46.6,15.6,227,4750,male
Chinstrap,Dream,54.7,18.4,196,3275,male
Chinstrap,Dream,45.0,18.5,199,3700,male
Gentoo,Biscoe,43.7,15.8,209,5150,male
Chinstrap,Dream,44.9,16.9,208,4100,male
Chinstrap,Dream,53.5,17.4,184,3450,male
Gentoo,Biscoe,45.0,15.8,218,4900,male
Adelie,Dream,37.6,19.9,201,4175,female
Chinstrap,Dream,46.4,17.8,190,3250,male
Gentoo,Biscoe,51.1,15.2,214,4600,female
Gentoo,Biscoe,43.6,16.2,213,5900,male
Gentoo,Biscoe,40.7,15.2,225,5300,female
Adelie,Dream,38.8,17.6,194,3675,male
Chinstrap,Dream,51.2,17.5,191,4150,female
Adelie,Dream,39.5,17.6,182,3375,female
Gentoo,Biscoe,46.0,16.6,222,5000,male
Adelie,Torgersen,42.2,20.4,191,3450,female
Gentoo,Biscoe,45.5,15.8,222,5100,male
Chinstrap,Dream,53.8,18.9,213,3350,female
Adelie,Biscoe,33.9,18.2,185,3675,female
Gentoo,Biscoe,47.2,13.9,214,4800,female
Gentoo,Biscoe,60.1,16.2,227,5275,male
Chinstrap,Dream,52.1,18.4,210,3300,male
Chinstrap,Dream,50.2,18.2,199,3375,female
Gentoo,Biscoe,49.9,13.5,212,4800,female
Adelie,Biscoe,41.0,17.5,188,3550,female
Adelie,Dream,40.7,19.5,198,3125,male
Chinstrap,Dream,48.8,19.3,191,3725,female
Adelie,Biscoe,37.8,18.6,188,3575,male
Chinstrap,Dream,44.2,18.9,194,4400,female
Adelie,Torgersen,39.1,18.6,196,4000,male
Gentoo,Biscoe,46.9,14.4,210,4925,female
Gentoo,Biscoe,49.8,15.8,218,4175,female
Gentoo,Biscoe,47.2,15.7,211,5400,female
Gentoo,Biscoe,44.0,13.0,217,5200,female
Gentoo,Biscoe,45.4,15.0,217,4750,female
Adelie,Dream,39.1,19.7,186,3500,male
Chinstrap,Dream,48.4,18.1,198,4000,male
Adelie,Torgersen,37.9,18.2,194,3825,female
Adelie,Biscoe,33.7,17.0,191,3900,female
Gentoo,Biscoe,48.9,15.0,205,5225,female
Gentoo,Biscoe,52.1,15.9,220,5075,male
Gentoo,Biscoe,49.4,17.6,218,5200,male
Chinstrap,Dream,45.4,19.2,188,3700,female
Gentoo,Biscoe,46.9,17.1,224,5500,male
Chinstrap,Dream,48.9,20.3,207,4100,male
Gentoo,Biscoe,43.7,14.8,224,5175,female
Adelie,Biscoe,37.6,16.8,184,3450,male
Gentoo,Biscoe,44.3,15.6,213,5375,male
Adelie,Torgersen,36.4,17.4,191,4075,male
Chinstrap,Dream,47.6,19.0,191,4275,male
Adelie,Biscoe,42.6,17.1,198,3125,female
Chinstrap,Dream,45.4,18.0,202,3775,female
Adelie,Biscoe,41.4,17.9,202,3950,male
Adelie,Dream,37.6,19.1,192,3450,male
Chinstrap,Dream,46.7,18.7,195,3925,male
Chinstrap,Dream,54.3,20.1,192,2925,female
Chinstrap,Dream,49.8,17.9,202,4025,male
Gentoo,Biscoe,47.5,15.8,225,5925,male
Chinstrap,Dream,49.4,20.0,183,3900,male
Adelie,Dream,35.4,18.1,191,3475,male
Gentoo,Biscoe,41.8,15.0,210,4900,female
Chinstrap,Dream,53.9,18.9,185,3925,female
Gentoo,Biscoe,47.5,15.5,222,5575,male
Adelie,Torgersen,39.0,19.8,198,3925,male
Gentoo,Biscoe,44.3,13.8,216,5175,female
Chinstrap,Dream,50.3,18.0,194,3500,female
Chinstrap,Dream,52.6,18.4,190,3825,male
Chinstrap,Dream,44.5,17.8,188,3325,female
Adelie,Biscoe,37.6,15.8,181,4600,female
Gentoo,Biscoe,46.1,17.6,222,5500,male
Chinstrap,Dream,49.6,18.6,184,3000,female
Chinstrap,Dream,49.2,19.1,194,3875,female
Gentoo,Biscoe,49.7,15.3,217,5675,male
Chinstrap,Dream,47.8,18.6,192,3400,female
Gentoo,Biscoe,46.4,16.2,209,5650,male
Adelie,Torgersen,38.8,19.3,191,4300,female
Adelie,Dream,40.9,19.0,203,3850,female
Gentoo,Biscoe,44.0,16.3,221,5225,male
Adelie,Dream,40.3,18.0,189,3675,male
Gentoo,Biscoe,43.2,16.4,212,5200,male
Gentoo,Biscoe,42.9,15.2,224,5550,male
Adelie,Biscoe,41.8,18.2,187,3725,male
Gentoo,Biscoe,47.7,15.8,205,4625,female
Adelie,Torgersen,41.1,16.1,189,4175,female
Gentoo,Biscoe,42.3,16.3,225,4525,male
Gentoo,Biscoe,44.1,14.0,217,4100,male
Gentoo,Biscoe,50.0,15.0,207,6075,male
Adelie,Dream,39.0,17.8,188,4200,female
Chinstrap,Dream,53.1,20.2,201,3675,male
